,H_Temperature,L_Temperature,Month,DayOfWeek,isWeekend,isholiday,isspringfestival,PriorDay,Prior2Day,PriorWeek,Load
0,8,-4,1,4,0,1,0,4020591,4170536,4294518,2900575
1,13,0,1,5,0,1,0,2900575,4020591,3874950,3158211
2,16,3,1,6,1,1,0,3158211,2900575,3905750,3596487
3,15,4,1,7,1,0,0,3596487,3158211,4105261,3939672
4,10,2,1,1,0,0,0,3939672,3596487,4255276,4101790
5,7,-1,1,2,0,0,0,4101790,3939672,4170536,4149164
6,7,-2,1,3,0,0,0,4149164,4101790,4020591,4161928
7,12,-1,1,4,0,0,0,4161928,4149164,2900575,4182622
8,14,1,1,5,0,0,0,4182622,4161928,3158211,4153509
9,14,1,1,6,1,0,0,4153509,4182622,3596487,3913704
10,10,1,1,7,1,0,0,3913704,4153509,3939672,3635468
11,8,3,1,1,0,0,0,3635468,3913704,4101790,4011329
12,8,4,1,2,0,0,0,4011329,3635468,4149164,3969860
13,10,4,1,3,0,0,0,3969860,4011329,4161928,4225259
14,11,3,1,4,0,0,0,4225259,3969860,4182622,4106437
15,7,-1,1,5,0,0,0,4106437,4225259,4153509,4074699
16,9,-1,1,6,1,0,0,4074699,4106437,3913704,4053950
17,11,0,1,7,1,0,0,4053950,4074699,3635468,3827153
18,10,2,1,1,0,0,0,3827153,4053950,4011329,4099085
19,11,4,1,2,0,0,0,4099085,3827153,3969860,4166022
20,7,0,1,3,0,0,0,4166022,4099085,4225259,4091559
21,11,-2,1,4,0,0,0,4091559,4166022,4106437,4197553
22,15,2,1,5,0,0,0,4197553,4091559,4074699,4153027
23,11,7,1,6,1,0,0,4153027,4197553,4053950,3841539
24,10,6,1,7,1,0,0,3841539,4153027,3827153,3658452
25,6,2,1,1,0,0,0,3658452,3841539,4099085,3969836
26,3,0,1,2,0,0,0,3969836,3658452,4166022,4250943
27,2,-1,1,3,0,0,0,4250943,3969836,4091559,4146675
28,3,-1,1,4,0,0,0,4146675,4250943,4197553,4155199
29,4,-2,1,5,0,0,0,4155199,4146675,4153027,4015565
30,5,-1,1,6,1,0,0,4015565,4155199,3841539,3895604
31,7,1,2,7,1,0,0,3895604,4015565,3658452,3678729
32,7,2,2,1,0,0,0,3678729,3895604,3969836,3983918
33,7,2,2,2,0,0,0,3983918,3678729,4250943,3962811
34,7,-2,2,3,0,0,0,3962811,3983918,4146675,3904604
35,9,-2,2,4,0,0,0,3904604,3962811,4155199,3812319
36,12,-1,2,5,0,0,0,3812319,3904604,4015565,3808081
37,6,0,2,6,1,0,0,3808081,3812319,3895604,3503405
38,6,-4,2,7,1,0,0,3503405,3808081,3678729,3476838
39,15,0,2,1,0,0,0,3476838,3503405,3983918,3562045
40,15,0,2,2,0,0,1,3562045,3476838,3962811,3221193
41,15,0,2,3,0,0,1,3221193,3562045,3904604,2909801
42,15,0,2,4,0,0,1,2909801,3221193,3812319,2934951
43,19,3,2,5,0,0,1,2934951,2909801,3808081,2847925
